"unitid","institution_name","percent_of_undergraduate_students_awarded_federal_state_local_institutional_or_other_sources_of_grant_aid","average_amount_of_federal_state_local_institutional_or_other_sources_of_grant_aid_awarded_to_undergraduate_students","percent_of_undergraduate_students_awarded_pell_grants","average_amount_pell_grant_aid_awarded_to_undergraduate_students","percent_of_undergraduate_students_awarded_federal_student_loans","average_amount_of_federal_student_loans_awarded_to_undergraduate_students","average_net_price_students_awarded_grant_or_scholarship_aid","average_net_price_income_0_30_000_students_awarded_title_iv_federal_financial_aid","average_net_price_income_over_110_000_students_awarded_title_iv_federal_financial_aid","published_in_state_tuition_and_fees","published_out_of_state_tuition_and_fees","off_campus_not_with_family_room_and_board","on_campus_room_and_board","total_price_for_in_state_students_living_on_campus","total_price_for_out_of_state_students_living_on_campus","total_price_for_in_state_students_living_off_campus_not_with_family","total_price_for_out_of_state_students_living_off_campus_not_with_family","gradrate_ba_6yrs_total","gradrate_ba_6yrs_men","gradrate_ba_6yrs_women","gradrate_ba_6yrs_black_non_hispanic","gradrate_ba_6yrs_hispanic","gradrate_ba_6yrs_white_non_hispanic","pell_grant_recipients_overall_graduation_rate_within_150_percent_of_normal_time","subsidized_stafford_loan_recipients_not_receiving_pell_grants_overall_graduation_rate_within_150_percent_of_normal_time","did_not_receive_pell_grants_or_subsidized_stafford_loans_overall_graduation_rate_within_150_percent_of_normal_time","historically_black_college_or_university","sector_of_institution","institutional_category","degree_of_urbanization_urban_centric_locale","carnegie_classification_2018_size_and_setting","full_time_retention_rate","part_time_retention_rate","undergraduate_enrollment","percent_of_undergraduate_enrollment_that_are_black_or_african_american","percent_of_undergraduate_enrollment_that_are_hispanic/latino","percent_of_undergraduate_enrollment_that_are_white","percent_of_undergraduate_enrollment_that_are_women","endowment_assets_year_end_per_fte_enrollment","number_of_branches_and_independent_libraries","all_programs_offered_completely_via_distance_education","percent_of_undergraduate_students_enrolled_exclusively_in_distance_education_courses","endowment_total","finances_spent_research","finances_spent_student_services","finances_spent_public_service","finances_spent_academic_support","finances_spent_instruction","revenue_total"
474863,"Los Angeles Pacific University",59,3915,45,3381,73,6738,NA,NA,NA,10200,10200,11000,NA,NA,NA,25300,25300,23,20,25,0,33,29,9,50,28,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, small, primarily nonresidential",13,47,1924,16,43,25,77,NA,NA,"Yes",100,NA,0,9191308,0,3042148,3730781,23955181
159568,"Louisiana College",85,12884,46,4843,61,6305,NA,NA,NA,17000,17000,9072,5518,27038,27038,30592,30592,28,25,32,19,38,31,18,34,41,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Small","Four-year, small, highly residential",63,40,1004,24,4,64,47,NA,0,"No",5,37885564,0,5694093,18856,704855,8586401,25139571
159391,"Louisiana State University and Agricultural & Mechanical College",75,11961,22,4829,32,6456,18143,8433,21941,11950,28627,16288,11830,30360,47037,34818,51495,64,60,68,52,62,67,55,56,72,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, large, primarily nonresidential",84,57,25233,13,7,70,53,19789,3,"No",0,558283343,234065320,33942268,74999828,102891172,378473385,1256301926
159382,"Louisiana State University-Alexandria",64,5749,43,4443,46,7038,7838,7487,10880,6669,14024,9072,7950,19171,26526,20879,28234,26,23,28,15,71,27,15,20,60,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","Rural: Fringe","Four-year, small, primarily nonresidential",56,43,3164,18,2,64,69,7597,0,"No",29,18658975,35099,2163483,19549,2019840,13431147,30003773
159416,"Louisiana State University-Shreveport",61,8782,39,4440,38,7677,8834,8200,13366,7327,20481,9430,NA,NA,NA,22937,36091,33,27,36,18,37,36,23,19,45,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, medium, primarily nonresidential",63,50,2511,20,5,53,60,4984,0,"No",15,26310899,573702,3528022,985525,4664877,31638198,59951685
159647,"Louisiana Tech University",89,8677,23,4604,33,6335,12261,8889,14814,9645,18558,9186,6495,21267,30180,25116,34029,53,49,58,37,55,55,41,50,61,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, large, primarily residential",79,44,10622,12,4,71,48,7620,0,"No",2,72014404,22920594,7614920,180133,18953530,57811965,220273978
203757,"Lourdes University",81,13698,43,4785,66,7297,NA,NA,NA,22480,22480,8014,10100,36766,36766,34680,34680,34,35,34,14,33,41,26,48,41,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, small, primarily residential",69,67,1085,11,10,70,60,NA,0,"No",1,8100749,0,4792105,0,1516519,8849365,28382211
117946,"Loyola Marymount University",78,21942,17,4803,36,6420,NA,NA,NA,48522,48522,13779,13690,67369,67369,68466,68466,84,81,85,82,86,82,80,88,83,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, medium, highly residential",90,100,6700,7,22,44,55,NA,0,"No",0,477552000,6258000,66026000,1642000,56564000,157999000,412237000
146719,"Loyola University Chicago",88,21218,25,4857,57,6690,NA,NA,NA,44048,44048,11500,14480,61328,61328,58348,58348,74,74,74,67,66,76,66,74,80,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, large, primarily residential",85,0,11919,5,16,55,67,NA,6,"No",2,640303000,24265860,54808444,5474505,106665028,194659072,653239156
163046,"Loyola University Maryland",87,26966,14,4437,52,6556,NA,NA,NA,48920,48920,8010,14430,66200,66200,59870,59870,80,80,79,76,76,81,82,79,79,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, medium, highly residential",88,NA,3879,6,10,76,58,NA,NA,"No",0,228151432,1459106,34998467,2071251,17893019,70688301,211974732
159656,"Loyola University New Orleans",89,27753,33,4564,59,6513,NA,NA,NA,39942,39942,13380,13380,56564,56564,56564,56564,61,59,63,53,63,65,50,68,66,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, medium, highly residential",85,50,2982,16,18,45,64,NA,1,"No",5,228164000,728000,12001000,2568000,9160000,45049000,101646000
